iter	RMSE
519	2.414753676
520	2.410460891
521	2.407033068
522	2.402896156
523	2.399619639
524	2.39629804
525	2.39174627
526	2.388237387
527	2.384298536
528	2.379353719
529	2.377284312
530	2.373843257
531	2.370660259
532	2.368992001
533	2.36683045
534	2.36413589
535	2.359891564
536	2.356245022
537	2.353029513
538	2.350034783
539	2.34618806
540	2.342965514
541	2.339587361
542	2.337775106
543	2.333401647
544	2.330867614
545	2.328606505
546	2.324893348
547	2.321971768
548	2.320286098
549	2.315593237
550	2.31271641
551	2.3094516
552	2.306740101
553	2.305386071
554	2.301194138
555	2.298834796
556	2.296924246
557	2.293018458
558	2.289315763
559	2.285729289
560	2.282926468
561	2.27950332
562	2.277614904
563	2.274260499
564	2.272433875
565	2.269652945
566	2.267278748
567	2.264367943
568	2.259723587
569	2.255384328
570	2.252607517
571	2.250027067
572	2.247255738
573	2.244533477
574	2.239500598
575	2.236034411
576	2.233023812
577	2.229150491
578	2.224542436
579	2.221552827
580	2.217658649
581	2.213417021
582	2.20956065
583	2.206933022
584	2.2026429
585	2.199281664
586	2.193711052
587	2.191014829
588	2.187445024
589	2.184247436
590	2.182035319
591	2.178710718
592	2.177018944
593	2.174331732
594	2.171237371
595	2.167895211
596	2.164301317
597	2.161727199
598	2.158656514
599	2.155935378
600	2.153280391
601	2.14909335
602	2.145692316
603	2.143629936
604	2.141155687
605	2.139687896
606	2.136501029
607	2.132533429
608	2.12983931
609	2.126780097
610	2.124297877
611	2.122546752
612	2.120760688
613	2.11798582
614	2.114191631
615	2.110290388
616	2.107676403
617	2.106046337
618	2.103910787
619	2.102394149
620	2.100763946
621	2.097057666
622	2.093836399
623	2.091133347
624	2.087989268
625	2.086192414
626	2.082916357
627	2.080918873
628	2.076264891
629	2.07292814
630	2.069010083
631	2.065077656
632	2.061913601
633	2.060450173
634	2.057515769
635	2.055428771
636	2.052867241
637	2.048779233
638	2.044098126
639	2.041625147
640	2.039761365
641	2.036799503
642	2.034681006
643	2.032397103
644	2.031461555
645	2.028952716
646	2.027049821
647	2.02599514
648	2.023058097
649	2.019944043
650	2.016165719
651	2.013227017
652	2.009974391
653	2.00818629
654	2.005962211
655	2.003847077
656	2.001513872
657	1.999938412
658	1.99812351
659	1.994936893
660	1.993050555
661	1.991999126
662	1.988878614
663	1.986214897
664	1.982674595
665	1.980545844
666	1.976701663
667	1.975409837
668	1.973129936
669	1.971192572
670	1.969835729
671	1.968705209
672	1.966760856
673	1.962859927
674	1.959248297
675	1.957256255
676	1.954551526
677	1.953038587
678	1.951453971
679	1.949948424
680	1.948037374
681	1.946705174
682	1.944011899
683	1.942721767
684	1.940164989
685	1.937806744
686	1.934895153
687	1.932806581
688	1.931189455
689	1.927770499
690	1.926248592
691	1.92395502
692	1.92249736
693	1.920468766
694	1.917773458
695	1.915140031
696	1.912161509
697	1.910546084
698	1.908346385
699	1.904619045
700	1.902209228
701	1.899005983
702	1.897369206
703	1.89460306
704	1.892109942
705	1.887923786
706	1.885734276
707	1.88276855
708	1.879307843
709	1.87571063
710	1.873129359
711	1.871155486
712	1.868318663
713	1.865873667
714	1.862979368
715	1.861100171
716	1.859634612
717	1.857469244
718	1.854265654
719	1.851582581
720	1.849396056
721	1.84727294
722	1.844496919
723	1.843160099
724	1.841539175
725	1.838888099
726	1.836513588
727	1.835399996
728	1.831365993
729	1.829382044
730	1.828175728
731	1.825589294
732	1.82316076
733	1.820923274
734	1.817058033
735	1.81429144
736	1.811739756
737	1.809132189
738	1.806209586
739	1.804284602
740	1.802332734
741	1.799413239
742	1.797466662
743	1.795045565
744	1.794114364
745	1.79182039
746	1.789044075
747	1.785861585
748	1.784299701
749	1.782461118
750	1.779759238
751	1.776695705
752	1.774732303
753	1.771412614
754	1.769447721
755	1.766414833
756	1.764313145
757	1.762855621
758	1.760829601
759	1.759366521
760	1.75674535
761	1.753656603
762	1.751051265
763	1.748756598
764	1.746428318
765	1.74356991
766	1.742379291
767	1.739958793
768	1.737138061
769	1.734224197
770	1.732949594
771	1.73057715
772	1.729001957
773	1.727058287
774	1.724957215
775	1.721537075
776	1.719302697
777	1.716856741
778	1.715303701
779	1.714003761
780	1.712361543
781	1.71075571
782	1.709630355
783	1.707144909
784	1.705023097
785	1.703424984
786	1.700863563
787	1.698933545
788	1.696551472
789	1.694828342
790	1.692474707
791	1.690213362
792	1.687813189
793	1.685775358
794	1.681857263
795	1.679220144
796	1.677346348
797	1.675406179
798	1.673027518
799	1.671526137
800	1.668619094
801	1.666100993
802	1.664890514
803	1.663057109
804	1.6602097
805	1.658525723
806	1.657384609
807	1.655088272
808	1.653253263
809	1.650631293
810	1.648696401
811	1.645729712
812	1.643881113
813	1.641274462
814	1.639810138
815	1.63795526
816	1.636586482
817	1.635247962
818	1.633404421
819	1.631652152
820	1.629514052
821	1.626721525
822	1.624527635
823	1.622242452
824	1.619884028
825	1.618475211
826	1.615199039
827	1.613500504
828	1.611108248
829	1.609859342
830	1.60753356
831	1.606775215
832	1.605015415
833	1.602889085
834	1.601436391
835	1.599209794
836	1.596110734
837	1.593669713
838	1.591968756
839	1.590277426
840	1.587886961
841	1.585848255
842	1.584486183
843	1.583754411
844	1.581723363
845	1.578648121
846	1.576219866
847	1.573718556
